name,dim,exec_time_nanos,first_found_time_nanos,solutions,entries
LatinSquareFC,64,44230,44230,0,1
LatinSquareFC,65,43328,43328,0,1
LatinSquareFC,66,48198,48198,0,1
LatinSquareFC,67,42976,42976,0,1
LatinSquareFC,68,42143,42143,0,1
LatinSquareFC,69,38853,38853,0,1
LatinSquareFC,70,52639,52639,0,1
LatinSquareFC,71,46566,46566,0,1
LatinSquareFC,72,54566,54566,0,1
LatinSquareFC,73,64375,64375,0,1
LatinSquareFC,74,47822,47822,0,1
LatinSquareFC,75,44867,44867,0,1
LatinSquareFC,76,47176,47176,0,1
LatinSquareFC,77,43515,43515,0,1
LatinSquareFC,78,52960,52960,0,1
LatinSquareFC,79,48090,48090,0,1
LatinSquareFC,80,47857,47857,0,1
LatinSquareFC,81,50439,50439,0,1
LatinSquareFC,82,46387,46387,0,1
LatinSquareFC,83,50960,50960,0,1
LatinSquareFC,84,55325,55325,0,1
LatinSquareFC,85,54652,54652,0,1
LatinSquareFC,86,49058,49058,0,1
LatinSquareFC,87,48992,48992,0,1
LatinSquareFC,88,49176,49176,0,1
LatinSquareFC,89,54394,54394,0,1
LatinSquareFC,90,57789,57789,0,1
LatinSquareFC,91,63480,63480,0,1
LatinSquareFC,92,58522,58522,0,1
LatinSquareFC,93,56109,56109,0,1
LatinSquareFC,94,59047,59047,0,1
LatinSquareFC,95,60724,60724,0,1
LatinSquareFC,96,63945,63945,0,1
LatinSquareFC,97,62549,62549,0,1
LatinSquareFC,98,61359,61359,0,1
LatinSquareFC,99,57772,57772,0,1
LatinSquareFC,100,65388,65388,0,1
LatinSquareFC,101,68066,68066,0,1
LatinSquareFC,102,64641,64641,0,1
LatinSquareFC,103,64526,64526,0,1
LatinSquareFC,104,68126,68126,0,1
LatinSquareFC,105,65323,65323,0,1
LatinSquareFC,106,70980,70980,0,1
LatinSquareFC,107,61181,61181,0,1
LatinSquareFC,108,64433,64433,0,1
LatinSquareFC,109,86583,86583,0,1
LatinSquareFC,110,65072,65072,0,1
LatinSquareFC,111,77548,77548,0,1
LatinSquareFC,112,69515,69515,0,1
LatinSquareFC,113,70943,70943,0,1
LatinSquareFC,114,102685,102685,0,1
LatinSquareFC,115,77669,77669,0,1
LatinSquareFC,116,68904,68904,0,1
LatinSquareFC,117,70537,70537,0,1
LatinSquareFC,118,72744,72744,0,1
LatinSquareFC,119,78472,78472,0,1
LatinSquareFC,120,88242,88242,0,1
LatinSquareFC,121,75174,75174,0,1
LatinSquareFC,122,72675,72675,0,1
LatinSquareFC,123,119785,119785,0,1
LatinSquareFC,124,216171,216171,0,1
LatinSquareFC,125,15453,15453,0,1
LatinSquareFC,126,16722,16722,0,1
LatinSquareFC,127,15226,15226,0,1
LatinSquareFC,128,17257,17257,0,1
LatinSquareFC,129,15922,15922,0,1
